A Sharp (.NET)		
A-0 System		
A+ (programming language)	"[<tr><td class=""infobox-full-data"" colspan=""2""><a href=""/wiki/APL_(programming_language)"" title=""APL (programming language)"">APL</a></td></tr>, <tr><th class=""infobox-header"" colspan=""2"" style=""background-color: #eee;"">Influenced</th></tr>, <tr><td class=""infobox-full-data"" colspan=""2""><a href=""/wiki/K_(programming_language)"" title=""K (programming language)"">K</a></td></tr>]"	"[<tr><td class=""infobox-full-data"" colspan=""2""><a href=""/wiki/K_(programming_language)"" title=""K (programming language)"">K</a></td></tr>]"
A++		
ABAP	"[<tr><td class=""infobox-full-data"" colspan=""2""><a href=""/wiki/Objective-C"" title=""Objective-C"">Objective-C</a>,<sup class=""noprint Inline-Template Template-Fact"" style=""white-space:nowrap;"">[<i><a href=""/wiki/Wikipedia:Citation_needed"" title=""Wikipedia:Citation needed""><span title=""This claim needs references to reliable sources. (May 2012)"">citation needed</span></a></i>]</sup> <a href=""/wiki/COBOL"" title=""COBOL"">COBOL</a>,<sup class=""noprint Inline-Template Template-Fact"" style=""white-space:nowrap;"">[<i><a href=""/wiki/Wikipedia:Citation_needed"" title=""Wikipedia:Citation needed""><span title=""This claim needs references to reliable sources. (March 2016)"">citation needed</span></a></i>]</sup> <a href=""/wiki/SQL"" title=""SQL"">SQL</a><sup class=""noprint Inline-Template Template-Fact"" style=""white-space:nowrap;"">[<i><a href=""/wiki/Wikipedia:Citation_needed"" title=""Wikipedia:Citation needed""><span title=""This claim needs references to reliable sources. (May 2012)"">citation needed</span></a></i>]</sup></td></tr>]"	
ABC (programming language)	"[<tr><td class=""infobox-full-data"" colspan=""2""><a href=""/wiki/SETL"" title=""SETL"">SETL</a>, <a href=""/wiki/ALGOL_68"" title=""ALGOL 68"">ALGOL 68</a><sup class=""reference"" id=""cite_ref-1""><a href=""#cite_note-1"">[1]</a></sup></td></tr>, <tr><th class=""infobox-header"" colspan=""2"" style=""background-color: #eee;"">Influenced</th></tr>, <tr><td class=""infobox-full-data"" colspan=""2""><a href=""/wiki/Python_(programming_language)"" title=""Python (programming language)"">Python</a></td></tr>]"	"[<tr><td class=""infobox-full-data"" colspan=""2""><a href=""/wiki/Python_(programming_language)"" title=""Python (programming language)"">Python</a></td></tr>]"
ABC ALGOL		
ACC (programming language)		
Rational Synergy		
Distributed Application Specification Language		
Action! (programming language)		
ActionScript	"[<tr><td class=""infobox-full-data"" colspan=""2""><a href=""/wiki/JavaScript"" title=""JavaScript"">JavaScript</a>, <a href=""/wiki/Java_(programming_language)"" title=""Java (programming language)"">Java</a></td></tr>, <tr><th class=""infobox-header"" colspan=""2"" style=""background-color: #eee;"">Influenced</th></tr>, <tr><td class=""infobox-full-data"" colspan=""2""><a href=""/wiki/Haxe"" title=""Haxe"">Haxe</a></td></tr>]"	"[<tr><td class=""infobox-full-data"" colspan=""2""><a href=""/wiki/Haxe"" title=""Haxe"">Haxe</a></td></tr>]"
Actor (programming language)		
