46,Assembly language,,,1947,Assembly language
483,Plankalkül,"[Begriffsschrift]","[Superplan,  ALGOL 58]",1948,Plankalkül
569,Short Code,"[ENIAC Short Code]","[Intermediate programming language, OMNIBAC Symbolic Assembler]",1950,Short Code (computer language)
216,G-code,,,1950,G-code
610,Superplan,"[Plankalkül]","[ALGOL 58]",1951,Superplan
593,Speedcoding,"[Assembly language, machine code, Influenced, Fortran, ALGOL 58, BASIC, C, PL/I, PACT I, MUMPS, Ratfor]","[Fortran, ALGOL 58, BASIC, C, PL/I, PACT I, MUMPS, Ratfor]",1953,Speedcoding
198,FLOW-MATIC,"[ARITH-MATIC, Laning and Zierler system]","[MATH-MATIC, AIMACO, COBOL]",1955,FLOW-MATIC
42,APT ,,,1956,APT (programming language)
360,MATH-MATIC,"[FLOW-MATIC]","[UNICODE]",1957,MATH-MATIC
110,COMIT,,"[SNOBOL]",1957,COMIT
115,COMTRAN,"[FLOW-MATIC]","[COBOL]",1957,COMTRAN
205,Fortran,"[Speedcoding]","[ALGOL 58, BASIC, C, Chapel, CMS-2, DOPE, Fortress, PL/I, PACT I, MUMPS, IDL, Ratfor]",1957,Fortran
326,Lisp ,"[IPL]","[CLIPS, CLU, COWSEL, Dylan, Elixir, Forth, Haskell, Io, Ioke, JavaScript, Julia, Logo, Lua, ML, Nim, Nu, OPS5, Perl, POP-2/11, Python, R, Rebol, Ruby, Scala, Swift, Smalltalk, Tcl, Wolfram Language]",1958,Lisp (programming language)
25,ALGOL 58,"[FORTRAN, IT, Plankalkül, Superplan, Sequentielle Formelübersetzung]",,1958,ALGOL 58
350,MAD ,"[IAL, ALGOL 58]",,1959,MAD (programming language)
104,COBOL,"[AIMACO, COMTRAN, FACT, FLOW-MATIC, C++, Eiffel, Smalltalk]","[CobolScript, EGL, PL/I, PL/B]",1959,COBOL
538,IBM RPG,"[9PAC, FARGO]",,1959,IBM RPG
349,MAD ,"[IAL, ALGOL 58]",,1959,MAD (programming language)
229,MAD ,"[IAL, ALGOL 58]",,1959,MAD (programming language)
263,IBM RPG,"[9PAC, FARGO]",,1959,IBM RPG
286,JOVIAL,"[ALGOL, SAGE]","[CMS-2, Coral 66, SYMPL]",1960,JOVIAL
26,ALGOL 60,"[ALGOL 58]","[Simula, CPL, Pascal, Ada, C]",1960,ALGOL 60
325,Language H,"[COBOL]",,1962,Language H
584,SNOBOL,"[COMIT, Influenced, AWK, SL5, Icon, bs, Lua]","[AWK, SL5, Icon, bs, Lua]",1962,SNOBOL
574,Simula,"[ALGOL 60, Simscript]","[All subsequent object-oriented programming languages]",1962,Simula
622,TECO ,,,1962,TECO (text editor)
123,CPL ,"[ALGOL 60]","[BCPL, POP-2]",1963,CPL (programming language)
284,JOSS,,"[TELCOMP, CAL, FOCAL, MUMPS]",1963,JOSS
627,TMG ,,,1963,TMG (language)
476,PL/I,"[COBOL, Fortran, ALGOL 60]","[Control Language, PL/M, PL/S, PL-6, PL/8,  REXX]",1964,PL/I
155,PL/I,"[COBOL, Fortran, ALGOL 60]","[Control Language, PL/M, PL/S, PL-6, PL/8,  REXX]",1964,PL/I
632,TRAC ,"[Macro SAP]","[SAM76, ML/I]",1964,TRAC (programming language)
57,BASIC,"[ALGOL 60, FORTRAN II, JOSS]","[COMAL, Visual Basic, Visual Basic .NET, GRASS]",1964,BASIC
